sha,message,html_url,repository_id,repository_full_name,repository_private,repository_fork
f20063937a5b9279efc7e218f56e9f38cc5b0c9d,"Placeholders are Prototypes, given their design pattern",https://github.com/microsoft/WinObjC/commit/f20063937a5b9279efc7e218f56e9f38cc5b0c9d,37950166,microsoft/WinObjC,False,False
15827c5d306e007d7da0f97b34dbde7624f37b84,"Adds Block.prototype.mixin() and Blockly.Extensions.registerMixin(). (#907)//Adds Block.prototype.mixin() and Blockly.Extensions.registerMixin().//This adds support for a common use pattern in extensions, and adds//error checking to avoid future incompatibilities.",https://github.com/microsoft/pxt-blockly/commit/15827c5d306e007d7da0f97b34dbde7624f37b84,79385111,microsoft/pxt-blockly,False,False
b4d664f526fda6a151f5092bfeaf9c726698b1c6,"Don't require a name or version in ""project"" manifests. (#605)//* Don't require a name or version in ""project"" manifests.////In resolving https://devdiv.visualstudio.com/DevDiv/_workitems/edit/1494960 ""[vcpkg ce] vcpkg-ce does not find vcpkg.json to find vcpkg-configuration.json"" I ran into a problem for existing vcpkg artifacts-only customers, where today they can name artifact dependencies without needing to supply a name or version. I want to be able to provide a reasonable ""how to fix it"" message for these customers and it seems reasonable to be able to declare dependencies without having a name or version. After some discussion with @ras0219-msft and @vicroms , the requirement for a name and version seems to be a historical artifact of using the same code to parse both port manifests and consumer/project manifests.////include/vcpkg/sourceparagraph.h://Rename parse_manifest_object to parse_port_manifest_object and add parse_project_manifest_object.////include/vcpkg/versiondeserializers.h://Declare visit_optional_schemed_deserializer (with static removed in the versiondeserializers.cpp)////include/vcpkg/versions.h://Add VersionScheme::Missing for the case that it isn't provided.////cmakevars.cpp://Use ""_manifest_"" as the ""port"" name when a name wasn't supplied for purposes of vcpkg_get_dep_info.////add.ps1://Add a new test of add port that uses an input manifest with no name or version information.////manifests.ps1://Remove name and version from the prototype manifest. Note that some of the tests still use a manifest with a name; in particular the ""self reference"" ones so we still have coverage of that.////format-manifest.ps1://Add project manifest examples in addition to the previous ""reserialize all ports"" test.////* Put the json entity type assert in the right place.////* Use JSON stuff rather than string stuff in the parsing tests.////* Invert template method pattern in manifest deserializer.////* Formatting////* Add overlay ports test.////* Add output asserts.",https://github.com/microsoft/vcpkg-tool/commit/b4d664f526fda6a151f5092bfeaf9c726698b1c6,319781556,microsoft/vcpkg-tool,False,False
b0e17a41be3b60e5ebcd42d25736ed331af4bda9,[X86-64] Fix incorrect function prototype discovery when the first use of an argument register is a tied-def./[Test] Add test to verify the fix./[Cleanup] Consolidate repeated code patterns.,https://github.com/microsoft/llvm-mctoll/commit/b0e17a41be3b60e5ebcd42d25736ed331af4bda9,152660616,microsoft/llvm-mctoll,False,False
b7d369280ba6073a285811733f90cf7f2e0066be,"[WebAssembly] Implement prototype SIMD rounding instructions//Summary:/As specified in https://github.com/WebAssembly/simd/pull/232. These/instructions are implemented as LLVM intrinsics for now rather than/normal ISel patterns to make these instructions opt-in. Once the/instructions are merged to the spec proposal, the intrinsics will be/replaced with proper ISel patterns.//Reviewers: aheejin//Subscribers: dschuff, sbc100, jgravelle-google, hiraditya, sunfish, cfe-commits, llvm-commits//Tags: #clang, #llvm//Differential Revision: https://reviews.llvm.org/D81222",https://github.com/microsoft/checkedc-clang/commit/b7d369280ba6073a285811733f90cf7f2e0066be,60645050,microsoft/checkedc-clang,False,False
1992e30c2d751f6f1f6ad5190f84e37dece04f7f,[WebAssembly] Prototype i8x16.popcnt//As proposed at https://github.com/WebAssembly/simd/pull/379. Use a target/builtin and intrinsic rather than normal codegen patterns to make the/instruction opt-in until it is merged to the proposal and stabilized in engines.//Differential Revision: https://reviews.llvm.org/D89446,https://github.com/microsoft/checkedc-clang/commit/1992e30c2d751f6f1f6ad5190f84e37dece04f7f,60645050,microsoft/checkedc-clang,False,False
7c6bfd90ab2ddaa60de62878c8512db0645e8452,"[WebAssembly] v128.load{8,16,32,64}_lane instructions//Prototype the newly proposed load_lane instructions, as specified in/https://github.com/WebAssembly/simd/pull/350. Since these instructions are not/available to origin trial users on Chrome stable, make them opt-in by only/selecting them from intrinsics rather than normal ISel patterns. Since we only/need rough prototypes to measure performance right now, this commit does not/implement all the load and store patterns that would be necessary to make full/use of the offset immediate. However, the full suite of offset tests is included/to make it easy to track improvements in the future.//Since these are the first instructions to have a memarg immediate as well as an/additional immediate, the disassembler needed some additional hacks to be able/to parse them correctly. Making that code more principled is left as future/work.//Differential Revision: https://reviews.llvm.org/D89366",https://github.com/microsoft/checkedc-clang/commit/7c6bfd90ab2ddaa60de62878c8512db0645e8452,60645050,microsoft/checkedc-clang,False,False
1a48caef667809dd31a47565fefbfbbe33ec4e39,"[SEH] Outline finally blocks using the new variable capture support//WinEHPrepare was going to have to pattern match the control flow merge/and split that the old lowering used, and that wasn't really feasible.//Now we can teach WinEHPrepare to pattern match this, which is much/simpler:/  %fp = call i8* @llvm.frameaddress(i32 0)/  call void @func(iN [01], i8* %fp)//This prototype happens to match the prototype used by the Win64 SEH/personality function, so this is really simple.//git-svn-id: https://llvm.org/svn/llvm-project/cfe/trunk@234532 91177308-0d34-0410-b5e6-96231b3b80d8",https://github.com/microsoft/checkedc-clang/commit/1a48caef667809dd31a47565fefbfbbe33ec4e39,60645050,microsoft/checkedc-clang,False,False
0dbecf2b7816353329f58c91157670cd3e1e7b77,"[SEH] Outline finally blocks using the new variable capture support//WinEHPrepare was going to have to pattern match the control flow merge/and split that the old lowering used, and that wasn't really feasible.//Now we can teach WinEHPrepare to pattern match this, which is much/simpler:/  %fp = call i8* @llvm.frameaddress(i32 0)/  call void @func(iN [01], i8* %fp)//This prototype happens to match the prototype used by the Win64 SEH/personality function, so this is really simple.//llvm-svn: 234532",https://github.com/microsoft/checkedc-clang/commit/0dbecf2b7816353329f58c91157670cd3e1e7b77,60645050,microsoft/checkedc-clang,False,False
1a48caef667809dd31a47565fefbfbbe33ec4e39,"[SEH] Outline finally blocks using the new variable capture support//WinEHPrepare was going to have to pattern match the control flow merge/and split that the old lowering used, and that wasn't really feasible.//Now we can teach WinEHPrepare to pattern match this, which is much/simpler:/  %fp = call i8* @llvm.frameaddress(i32 0)/  call void @func(iN [01], i8* %fp)//This prototype happens to match the prototype used by the Win64 SEH/personality function, so this is really simple.//git-svn-id: https://llvm.org/svn/llvm-project/cfe/trunk@234532 91177308-0d34-0410-b5e6-96231b3b80d8",https://github.com/microsoft/clang/commit/1a48caef667809dd31a47565fefbfbbe33ec4e39,29706297,microsoft/clang,False,False
c559e63798e69be1d7c66847b662b53ba88f0f9c,"Handle IntToPtr in isBytewiseValue//Summary:/This helps with more efficient use of memset for pattern initialization//From @pcc prototype for -ftrivial-auto-var-init=pattern optimizations//Binary size change on CTMark, (with -fuse-ld=lld -Wl,--icf=all, similar results with default linker options)/```/                   master           patch      diff/Os           8.238864e+05    8.238864e+05       0.0/O3           1.054797e+06    1.054797e+06       0.0/Os zero      8.292384e+05    8.292384e+05       0.0/O3 zero      1.062626e+06    1.062626e+06       0.0/Os pattern   8.579712e+05    8.338048e+05 -0.030299/O3 pattern   1.090502e+06    1.067574e+06 -0.020481/```//Zero vs Pattern on master/```/               zero       pattern      diff/Os     8.292384e+05  8.579712e+05  0.036578/O3     1.062626e+06  1.090502e+06  0.025124/```//Zero vs Pattern with the patch/```/               zero       pattern      diff/Os     8.292384e+05  8.338048e+05  0.003333/O3     1.062626e+06  1.067574e+06  0.003193/```//Reviewers: pcc, eugenis//Subscribers: hiraditya, cfe-commits, llvm-commits//Tags: #clang, #llvm//Differential Revision: https://reviews.llvm.org/D63967//llvm-svn: 365858",https://github.com/microsoft/checkedc-clang/commit/c559e63798e69be1d7c66847b662b53ba88f0f9c,60645050,microsoft/checkedc-clang,False,False
1d787d5cb799bed43282e6178a830ef186d4e5f7,"Move Loader Constructor to Props Pattern (#3945)//As part of some prototyping related to the version work, I saw the need to add another parameter to the loader constructor. I'm not sure what will come to fruition, as I'm continuing to explore a few designs. However, in looking at adding a new param i saw that the current constructor already takes several optional params, which is cumbersome, as each preceding optional param must be specified to specify the next. Moving the loader to a props pattern will make the loader easier to work with and construct.////Additionally, many of these same parameters are then passed to the container. I've simplified this to just pull the properties it needs directly from the load itself.",https://github.com/microsoft/FluidFramework/commit/1d787d5cb799bed43282e6178a830ef186d4e5f7,203843667,microsoft/FluidFramework,False,False
