sha,message,html_url,repository_id,repository_full_name,repository_private,repository_fork
8b18019e86a5c1ced0f4818633a7b0e482a98a93,"Distinguish Singleton and Caching pattern//Summary: This diff distinguishes Caching pattern from Singleton pattern. Essentially, both patterns writes to (or say, initializes) a global variable when its value is null or does not exist. Yet, it is desired to distinguish if the written global variable is a collection or not: if the assignment directly writes to a collection (e.g. `Foo::$dic[$key] = $value`), then we assume it's a caching; otherwise, it is a singleton (e.g. `Foo::$bar = $x` or `(Foo::$dic[$key])->prop = $y`).//Reviewed By: lavenzg//Differential Revision: D40872670//fbshipit-source-id: 0ec2e66767ef3d1fe241749e4de9607c88222a3e",https://github.com/facebook/hhvm/commit/8b18019e86a5c1ced0f4818633a7b0e482a98a93,455600,facebook/hhvm,False,False
a2bdbd60708599aa3ce226697a5886006b0d95a6,"Recognize coalescing assignment for singleton//Summary: This diff simply recognizes coalescing assignment (of the format `$a ??= $b`) as the ""singleton"" pattern, when the assigned variable is global.//Reviewed By: jamesjwu//Differential Revision: D40763644//fbshipit-source-id: cc84f82b0d8a35e782c5f6e2e08af69baef0cafe",https://github.com/facebook/hhvm/commit/a2bdbd60708599aa3ce226697a5886006b0d95a6,455600,facebook/hhvm,False,False
ef6072246b499377ef3d67923f2f22bf4a568150,"commitcloud: do not make LocalSerivce as a singleton//Summary:/If LocalSerivce is a singleton, it will capture an `ui` object that might be/stale in in-process hg tests. `LocalSerivce` is cheap to construct so let's/just avoid the singleton pattern for test compatibility.//This fixes `test-commitcloud-rename-workspace` debugruntest compatibility as/the following text is now printed properly using the up-to-date `ui.debugflag`://  commitcloud local service: get_references for current version 2//Reviewed By: zzl0//Differential Revision: D42825822//fbshipit-source-id: 683dec345c4a36a6d79080e54a09050991c11dad",https://github.com/facebook/sapling/commit/ef6072246b499377ef3d67923f2f22bf4a568150,58146669,facebook/sapling,False,False
cc5798189f914a7af105f6640c91917b943575fc,"Recognize simple singleton patterns for global writes//Summary:/As suggested by our customer (MI), there are some common patterns for the detected global writes, which are benign in most cases. Thus, this diff introduces the following patterns:/  - Singleton (i.e. write to a global variable whose value is null)/  - CounterIncrement (i.e. increase a global variable by 1 or -1)/  - WriteEmptyOrNUll (i.e. assign null or empty string to a global variable)/  - WriteLiteral (i.e. assign a literal to a global variable)/  - WriteGlobalToGlobal (i.e. assign a global variable to another one)//Currently, all the patterns above are related with global writes, and later some patterns for global reads may be introduced as well.//Specifically, this diff starts with a simple case of the singleton pattern, in which a global object (or its mutable property) is written under the condition that its value is null.//To do:/- Handle a more complex case of the singleton pattern, in which the global object is a collection (e.g. dictionary) and functions like `idx` and `C\contains_key` are used./- To handle other patterns (e.g. WriteLiteral), we will need to track the reference of non-global variables as well. To be more precise, we need a general pointer analyzer, in which the data source of every local variable is maintained (not just the local variables that point to global variables as we do now).//Reviewed By: minjang//Differential Revision: D40181325//fbshipit-source-id: 475ce79d14df7fc2e6df38873a29388394e7d000",https://github.com/facebook/hhvm/commit/cc5798189f914a7af105f6640c91917b943575fc,455600,facebook/hhvm,False,False
28849fee1c3906b3bbdcaa30affe2e8b2d796404,Rename Protocol::fromStandard -> get//Summary: so it is less redundent and better matches exisiting singleton patterns.//Reviewed By: Mizuchi//Differential Revision: D36230963//fbshipit-source-id: 7874d76675079a987e0081c6ecfdd419432ede22,https://github.com/facebook/fbthrift/commit/28849fee1c3906b3bbdcaa30affe2e8b2d796404,11131631,facebook/fbthrift,False,False
f31744a7ae0e81955495541297d0c7b076634271,"Recognize singletons patterns via functions//Summary:/Compared with the previous diff D40181325 that can recognize the simple singleton pattern (in which the value of a global variable is directly checked, e.g. `Foo::$bar is null`), this diff handles some more complex cases, in which functions like `idx` or `C\contains_key` are used to access the elements of global collections.//Limitations:/- If the value of `C\contains_key` is stored in some local variable (instead of directly used in the conditional), then we lose track of the nullable variables./- There could be more functions like `C\contains_key` that checks the existence of some elements in the collection or `idx` that returns the given collection's element, but are not recognized by the current algorithm. If we encounter such functions, we will need to generalize our algorithm by using **an explicit list of such functions**.//Reviewed By: minjang//Differential Revision: D40420507//fbshipit-source-id: fd9ab68bcae827edc281aa332da55262b2b9ae39",https://github.com/facebook/hhvm/commit/f31744a7ae0e81955495541297d0c7b076634271,455600,facebook/hhvm,False,False
db011b8dce61f84a28aff7eb9a3c96884ca55054,"Define an actually empty Empty domain//Summary:/Until now the so-called ""Empty"" domain was actually a singleton domain. We define a new empty domain/that has no element, leveraging an empty ocaml type and unreachable patterns. The singleton domain is/renamed into Unit.//This domain may obviously not be used alone and is to be lifted for instance, with WithBottomTop to/define a ""boolean"" domain.//Note that there was only one occurrence of Empty in the code at/`infer/src/checkers/DisjunctiveDemo.ml`, which seems fine with the new Empty one.//Reviewed By: jvillard//Differential Revision: D39692860//fbshipit-source-id: 139e036d11c52c7f259b238766722f582281ffb8",https://github.com/facebook/infer/commit/db011b8dce61f84a28aff7eb9a3c96884ca55054,29857799,facebook/infer,False,False
407fb5c2384b13abba677789b8d86b21b6ace190,"Implement ability to emit device events from C++ TurboModules//Summary:/[Changelog][Internal]//This adds a method, `emitDeviceEvent` to the C++ API of TurboModules, which allows to make calls to JS's `RCTDeviceEventEmitter.emit` from a C++ TurboModules.//This is a very common pattern, specifically for the VR apps, but not only for them - e.g. Desktop fork also has a [custom implementation for this](https://www.internalfb.com/code/fbsource/third-party/microsoft-fork-of-react-native/react-native-utils/RCTEventEmitter.cpp).//Note that my original intent was to actually backport the latter, however there are some complications with wiring things in a robust way, without exposing too much stuff and relying on singletons or folly::dynamic.//So I ended up adding it to the TurboModule API itself and use the scheduler/JSI facilities instead.//This approach is arguably well self-contained, uses high level APIs, and shouldn't be abusable much.//Since I was trying to avoid usage of folly::dynamic in this case, I used a kind of ""value factory"" pattern instead in order to send the arguments to the JS thread in a thread safe way (see [the discussion here](https://fb.workplace.com/groups/rn.fabric/permalink/1398711453593610/)).//Reviewed By: christophpurrer//Differential Revision: D43466326//fbshipit-source-id: a3cb8359d08a46421559edd0f854772863cb5c39",https://github.com/facebook/react-native/commit/407fb5c2384b13abba677789b8d86b21b6ace190,29028775,facebook/react-native,False,False
769baee7cfc13705e523b25d10a05856ac61e01f,"Type restrictions for value patterns//Summary:/# This diff//The value and singleton patterns implicitly also impose typing restrictions.//Singleton pattern was already working, because it was being translated using `is`, and we handle type refinement with `is`.//The `value` in a value pattern can only be a literal/constant*, so using `is` is equivalent. This diff changes translation of `value` to use `is`.//*The reason the AST uses an expression is that it could either be a one of builtin types' constant (which maps to `Expression.Constant` in the AST) or an enumeration constant (which maps to an attribute in the AST). We add a test in here to make sure refinement is working for enums as well.//# Broader context//See D32027190 (https://github.com/facebook/pyre-check/commit/0d16c9b5206fefc2d00327df9078703eef93f76f).//Reviewed By: pradeep90//Differential Revision: D32624003//fbshipit-source-id: a72c247099c9abbba1d9d428f5e96279e0e250d6",https://github.com/facebook/pyre-check/commit/769baee7cfc13705e523b25d10a05856ac61e01f,110274488,facebook/pyre-check,False,False
af9f0015ea1cb1eeb6c9b775e4c728aefdcd2eee,"MatchTranslate: singleton pattern//Summary:/# This diff//`True`, `False`, and `None` are special and are matched with `is`.//# Context//Locally, starts at: D32455895 (https://github.com/facebook/pyre-check/commit/202d5dabee53599e4480fb72d0a63e83aca2addb); more broadly see D32027190 (https://github.com/facebook/pyre-check/commit/0d16c9b5206fefc2d00327df9078703eef93f76f).//Reviewed By: shannonzhu//Differential Revision: D32572743//fbshipit-source-id: af63b2b38d504c5a26f8a046d6985a37cea19900",https://github.com/facebook/pyre-check/commit/af9f0015ea1cb1eeb6c9b775e4c728aefdcd2eee,110274488,facebook/pyre-check,False,False
