repo,issue_duration
facebook/OpenBIC,4 days 04:57:52.210000
facebook/Rapid,60 days 09:05:36.930000
facebook/TestSlide,39 days 21:20:04.510000
facebook/buck2,3 days 09:01:52.130000
facebook/chef-cookbooks,24 days 23:15:06.520000
facebook/facebook-ios-sdk,90 days 17:39:49.870000
facebook/fbjs,82 days 08:21:08.590000
facebook/fboss,82 days 16:48:27.860000
facebook/fbthrift,122 days 21:10:10.980000
facebook/flow,255 days 12:00:46.070000
facebook/folly,111 days 15:24:11.500000
facebook/fresco,81 days 12:25:34.960000
facebook/hhvm,100 days 18:21:57.700000
facebook/idb,92 days 01:47:27.220000
facebook/infer,71 days 14:50:49.420000
facebook/ktfmt,25 days 19:41:56.960000
facebook/litho,74 days 00:54:45.730000
facebook/mariana-trench,16 days 17:46:45.790000
facebook/mcrouter,36 days 08:26:36.630000
facebook/metro,60 days 10:12:45.890000
facebook/mysql-5.6,71 days 11:46:58.180000
facebook/openbmc,61 days 17:58:16.680000
facebook/openr,22 days 07:01:29.400000
facebook/proxygen,135 days 14:22:28.840000
facebook/pyre-check,21 days 03:15:10.290000
facebook/react,41 days 23:35:45.660000
facebook/react-native,79 days 14:17:17.530000
facebook/redex,95 days 02:22:01.110000
facebook/relay,43 days 08:52:37.550000
facebook/rocksdb,86 days 03:52:42.330000
facebook/sapling,8 days 15:19:03.140000
