id,design_pattern_instance,change_type,bugs,vulnerabilities,debt,debt_ratio,code_smells,Duplication,LOC,statements,classes,functions,cyclomatic,cognitive,with_pattern
1,singleton,implementation,0,0,9,0.9,3,0,32,32,3,6,10,4,0
2,singleton,implementation (extracted from a repo),0,0,0,0,0,45.7,31,29,1,4,7,5,0
3,observer,implementation,0,0,13,2,5,0,22,22,2,5,8,3,0
4,observer,implementation (extracted from a repo),0,0,0,0,0,0,59,57,3,7,13,7,0
5,factory,implementation,1,0,0,0,0,0,13,12,0,3,4,2,0
6,factory method,implementation (extracted from a repo),0,0,5,0.3,1,70.9,62,57,2,6,13,13,0
7,template,implementation,0,0,20,5.6,2,0,12,12,0,2,2,0,0
8,iterator,implementation,0,0,0,0,0,0,18,18,1,3,4,1,0
9,adapter,implementation (extracted from a repo),0,0,0,0,0,0,19,18,1,4,7,6,0
1,singleton,implementation,0,0,4,0.3,2,0,40,40,3,7,13,6,1
2,singleton,implementation (extracted from a repo),0,0,0,0,0,38.2,37,35,2,5,9,6,1
3,observer,implementation,0,0,15,1.8,6,0,28,28,2,7,10,3,1
4,observer,implementation (extracted from a repo),0,0,0,0,0,0,68,64,4,11,13,6,1
5,factory,implementation,4,0,1.5,14,4,0,31,31,6,7,7,0,1
6,factory method,implementation (extracted from a repo),0,0,5,0.3,1,67.5,64,59,2,7,14,13,1
7,template,implementation,0,0,17,2.5,4,0,23,22,3,5,5,0,1
8,iterator,implementation,0,0,0,0,0,0,83,56,5,12,14,3,1
9,adapter,implementation (extracted from a repo),0,0,0,0,0,0,26,26,2,6,11,9,1
