repo,issue_duration
microsoft/BotBuilder-Samples,13 days 18:32:16.160000
microsoft/BotFramework-Composer,36 days 22:57:27.440000
microsoft/CCF,11 days 19:24:05.300000
microsoft/CsWinRT,36 days 22:36:21.710000
microsoft/FluidFramework,41 days 12:01:57
microsoft/MixedReality-WorldLockingTools-Unity,6 days 00:24:43.830000
microsoft/OSSGadget,16 days 06:36:59.330000
microsoft/PowerStig,49 days 14:30:42.370000
microsoft/Recognizers-Text,11 days 05:52:47.880000
microsoft/Trill,2 days 18:33:36.120000
microsoft/WebTemplateStudio,14 days 08:58:26.700000
microsoft/WinObjC,17 days 19:20:53.730000
microsoft/accessibility-insights-action,4 days 12:58:54.740000
microsoft/accessibility-insights-web,15 days 02:35:20.050000
microsoft/accessibility-insights-windows,18 days 14:50:33.600000
microsoft/api-guidelines,48 days 17:41:20.190000
microsoft/axe-windows,4 days 15:30:38.480000
microsoft/azure-pipelines-agent,49 days 16:21:48.790000
microsoft/azure-pipelines-tasks,59 days 23:20:05.550000
microsoft/azuredatastudio,53 days 17:24:27.530000
microsoft/beachball,14 days 07:33:59.840000
microsoft/botbuilder-dotnet,39 days 01:39:48.690000
microsoft/botbuilder-js,33 days 14:12:57.170000
microsoft/botbuilder-tools,25 days 01:36:44.620000
microsoft/botframework-cli,15 days 20:55:53.340000
microsoft/checkedc-clang,36 days 03:27:32.550000
microsoft/essex-toolkit,2 days 10:58:24.600000
microsoft/fast,35 days 11:22:50.950000
microsoft/fluentui,30 days 19:27:53.970000
microsoft/java-debug,24 days 12:00:31.460000
microsoft/kiota,14 days 17:26:18.810000
microsoft/knossos-ksc,14 days 20:14:36.860000
microsoft/nni,26 days 23:36:39.870000
microsoft/onnxruntime,16 days 06:39:47.740000
microsoft/opengcs,9 days 18:06:29.210000
microsoft/powerquery-parser,18 days 09:29:33.820000
microsoft/react-native-windows,22 days 12:29:49.320000
microsoft/sarif-sdk,28 days 15:05:31.661538461
microsoft/sqltoolsservice,9 days 14:00:09.470000
microsoft/terminal,51 days 22:04:01.900000
microsoft/tsiclient,25 days 22:47:43.860000
microsoft/typespec,13 days 14:37:36.240000
microsoft/vcpkg,94 days 07:03:32.360000
microsoft/vcpkg-tool,9 days 05:09:14.550000
microsoft/vs-mef,10 days 21:44:18.460000
microsoft/vs-streamjsonrpc,6 days 14:48:08.580000
microsoft/vs-threading,17 days 06:37:17.910000
microsoft/vs-validation,8 days 22:54:40.870000
microsoft/vscode-docker,32 days 19:08:26.460000
microsoft/vscode-go,60 days 15:41:15.920000
microsoft/vscode-jupyter,112 days 09:14:22.290000
microsoft/vscode-python,36 days 07:43:58.520000
microsoft/windows-rs,5 days 08:02:34.560000
microsoft/xbox-live-unity-plugin,11 days 21:22:28.480000
